spelllore,weave,spell,range,aoe,duration,save,description,warp1,warp2,warp3,spelllore-ref,attack,crit,attacktable,crittable,max
Earth Mould,7th,Pulverize,30 m,3 m³,P,Y,This Spell reduces up to 3 cubic meters of stone or earth to fine dust. Animated creatures made of stone may pass a Save Roll to avoid the effects of this Spell.,,,,earth-mould,,,,,
Earth Mould,8th,Riven Earth,30 m,3 m radius,-,N,"The ground in the affected area erupts in a sudden explosion. This Attack Spell is resolved on the Area Spells Attack Table, with no maximum result, inflicting Impact damage and affecting anyone standing within the Area of Effect. Creatures that suffer damage from this Spell must also succeed at a Challenging (-10) Acrobatics Skill Roll or fall Prone.",,,,earth-mould,Area,Impact,7.5 Area Spells Attack Table,7.9 Impact Critical Strikes Table,175
Earth Mould,9th,Stone to Mud,30 m,3 m³,P,N,This Spell transforms up to 3 cubic meters of stone or earth into an equal volume of soft mud. Creatures standing on or passing through the targeted area must succeed at a Challenging (-10) Athletic Skill Roll or start sinking into the mud. Sinking characters are considered Held until they manage to free themselves.,,,,earth-mould,,,,,
Earth Mould,10th,Earthquake,30 m,10 m radius,1 rnd/lvl,N,"The ground in the chosen area begins to shake violently for the Duration. Creatures standing in the Area of Effect must pass a Hard (-20) Acrobatics Skill Roll at the beginning of each Assessment Phase or fall Prone. Small wooden structures and shoddy stone structures in the area will crumble and fall, causing a Grievous Impact Critical Strike to any creature caught by their fall. Sturdier structures will resist but will still be damaged by the Spell. Any creature inside or near one of these structures has a 30% chance each Round of being hit by falling debris, suffering a Moderate Impact Critical Strike.  Eldritch Fire Manipulating elemental Fire to create devastating scorching attacks, erect flaming barriers, and heat organic and inorganic materials.",,,,earth-mould,,,,,
Eldritch Fire,1st,Ignite,0 (touch),1 target,-,N,"The caster conjures a bright spark that ignites target flammable object within Range, which will then start to burn normally. If the target is a living being, it suffers a Superficial Fire Critical Strike instead.",+1 Weave: increase Range by 2 meters.,"+1 Weave: instead of its normal effect, the Spell will extinguish a fire (covering an area of up to 1.5 m of radius) within Range.",,eldritch-fire,,,,,
Eldritch Fire,2nd,Cauterization,0 (touch),1 wound,P,N,"A tiny flame erupts from the caster's fingertips, cauterizing a single Light Bleeding wound, but dealing 2 points of damage per point of Bleeding healed this way.",+3 Weave: increase the severity of Bleeding healed by one step (from Light to Severe or from Severe to Exsanguination).,,,eldritch-fire,,,,,
Eldritch Fire,3rd,Incandescence,3 m,30 cm³/lvl,C,N,Target inanimate inorganic object (up to 30 cubic cm per Level of the caster) within Range becomes searing hot for the Duration of the Spell. Characters wearing or holding the object will suffer a Superficial Fire Critical Strike at the beginning of each Round until they drop or remove it.,+1 Weave: change Duration to 1 Round per Level.,,,eldritch-fire,,,,,
Eldritch Fire,4th,Wall of Fire,30 m,3 m × 3 m × 15 cm,1 rnd/lvl,N,"This Spell creates a wall of fire on a solid surface within Range. The wall is approximately 15 cm thick, and can be up to 3 meters long and high. The Wall of Fire is opaque and cannot be seen through. Any creature passing through it suffers a Superficial Fire Critical Strike.",+3 Weave: extend length of wall by 3 meters. Weave Spell Range Area of Effect Duration Save,,,eldritch-fire,,,,,
Eldritch Fire,5th,Flameshield,3 m,1 target,1 min/lvl,N,"For the Duration, the target halves any damage suffered from firebased attacks and reduces by one severity degree any Fire Critical Strike received (Critical Strikes reduced under the Superficial severity are completely negated by the Spell).",+2 Weave: add one target to the Area of Effect.,,,eldritch-fire,,,,,
Eldritch Fire,6th,Fire Bolt,30 m,1 target,-,N,"The caster hurls a bolt of fire against the target. This Attack Spell inflicts Fire damage and is resolved on the Bolt Spells Attack Table, with a maximum result of 150. If the target is wearing or bearing highly flammable items, there's a 1% chance per point of base damage inflicted that one of them will catch fire, dealing a Superficial Fire Critical Strike each Round until doused, removed, or destroyed.",+2 Weave: increase chance of flammable items catching fire to 2% per point of base damage inflicted.,+2 Weave: increase Range by 10 meters,,eldritch-fire,Bolt,Fire,7.6 Bolt Spells Attack Table,7.13 Fire Critical Strikes Table,150
Eldritch Fire,7th,Flaming Weapon,0 (touch),1 weapon,1 rnd/lvl,N,"Target melee weapon within Range is enshrouded in magical flames. The flames will not affect the weapon, nor harm its wielder or the caster, but will inflict an additional Moderate Fire Critical Strike to any creature it hits.",+2 Weave: increase the severity of the additional Critical Strike by 1 (up to Lethal).,,,eldritch-fire,,,,,
Eldritch Fire,8th,Fireball,30 m,3 m radius,-,N,"The caster shoots a small sphere of flames, that explodes in a fiery conflagration upon reaching its target. This Attack Spell is resolved on the Area Spells Attack Table, with no maximum result, inflicting Fire damage and affecting anyone within the Area of Effect. If a creature hit by this Spell is wearing or bearing highly flammable items, there's a 1% chance per point of base damage inflicted that one of them will catch fire, dealing a Superficial Fire Critical Strike to its bearer each Round until doused, removed, or destroyed.",+2 Weave: increase chance of flammable items catching fire to 2% per point of base damage inflicted.,+2 Weave: increase Range by 10 meters,,eldritch-fire,Area,Fire,7.5 Area Spells Attack Table,7.13 Fire Critical Strikes Table,175
Eldritch Fire,9th,Immolation,0 (self),caster,1 rnd/lvl,N,"The caster wreaths themselves in a fiery aura. For the Duration of the Spell, they take no damage from normal or magical fire, and inflict a Light Fire Critical Strike at the beginning of each Round to all creatures engaged in melee with them.",,,,eldritch-fire,,,,,
Eldritch Fire,10th,Firestorm,30 m,6 m radius,1 rnd/lvl,N,"The chosen area is covered by a roaring storm of 3-meter high flames. For the Duration of the Spell, any creature in the Area of Effect suffers a Fire Critical Strike of increasing severity at the beginning of each Round, starting from Superficial and up to Lethal. Inside the Area of Effect of the Spell hearing and seeing are greatly hampered: all Perception Rolls are penalized by -30. Furthermore, each target beginning their Round inside the area of effect must pass a Perception Roll during the Assessment Phase or be Stunned; once the target passes the Roll, they need not roll again for the Duration of the Spell.  Eldritch Frost Mastering elemental Ice to deliver chilling frostbite attacks, create ice and frost walls, and freeze any kind of material.",,,,eldritch-fire,,,,,
Eldritch Frost,1st,Freezing Touch,0 (touch),1 target,-,N,"The caster's outstretched palm is enveloped by a silvery aura of frost. Any liquid touched by the caster (up to 30 cubic centimeters per Level) gradually freezes upon the course of one Round, while inanimate objects become extremely cold, and living creatures suffer a Superficial Frost Critical Strike.",+1 Weave: increase Range by 2m,,,eldritch-frost,,,,,
Eldritch Frost,2nd,Frostbite,30 m,1 target,1 rnd/5 fail,Y,"A feeling of intense cold grips target living creature, leaving it numb and sluggish. The target suffers a -20 penalty to all Attacks and Skill Rolls for the Duration. Should the penalty from this spell reach a total of -100 (i.e. by using the Warping Option four times), the target is also Incapacitated for the duration.",+2 Weave: increase penalty by -20 (up to a maximum of -100).,,,eldritch-frost,,,,,
Eldritch Frost,3rd,Winter's Chill,30 m,3 m radius,1 min/lvl,N,"The air in the Area of Effect suddenly grows unnaturally cold. Unprotected normal flames smaller than a bonfire in the area are snuffed out. The ground is covered in rime (making it Arduous Terrain to cross), and non-running water by a thin layer of ice. Fire-based attacks in the area suffer a -20 penalty to their Attack Rolls for the Duration. Temperature will rise again to its original level when this Spell expires.",+3 Weave: extend Area of Effect by 3 meters.,+3 Weave: Frost-based attacks in the area gain a +20 bonus to their Attack Rolls for the Duration (cannot be chosen more than once).,,eldritch-frost,,,,,
Eldritch Frost,4th,Frostwall,30 m,3 m × 3 m × 15 cm,1 rnd/lvl,N,"This Spell creates a shimmering wall of intense cold on a solid surface within Range. The wall is approximately 15 cm thick, and can be up to 3 meters long and high. The wall cannot be seen through, and any creature passing through it suffers a Superficial Frost Critical Strike.",+3 Weave: extend length of wall by 3 meters. Weave Spell Range Area of Effect Duration Save,,,eldritch-frost,,,,,
Eldritch Frost,5th,Winterheart,3 m,1 target,1 min/lvl,N,"For the Duration, the target ignores the effects of natural cold, halves any damage suffered from frost-based attacks, and reduces by one severity degree any Frost Critical Strike received (Critical Strikes reduced under the Superficial severity are completely negated by the Spell).",+2 Weave: add one target to the Area of Effect.,,,eldritch-frost,,,,,
Eldritch Frost,6th,Frost Bolt,30 m,1 target,-,N,"The caster hurls a bolt of silvery, freezing cold energy against the target. This Attack Spell inflicts Frost damage and is resolved on the Bolt Spells Attack Table, with a maximum result of 140. If the target isn't wearing furs, pelts, or similar protective gear, there's a 1% chance per point of base damage inflicted that they will also suffer a -20 Exhaustion penalty to their actions until properly treated.","+1 Weave: the caster hurls a bolt of solid ice instead, dealing Impact damage to the target. Should the attack score a Moderate or better Critical Strike, it will also inflict a secondary Frost Critical Strike of two severity levels lower to the target.",+2 Weave: increase Range by 10 meters,,eldritch-frost,Bolt,Frost,7.6 Bolt Spells Attack Table,7.15 Frost Critical Strikes Table,140
Eldritch Frost,7th,Cold Ball,30 m,6 m radius,-,N,"The caster shoots a small sphere of pure cold that explodes in a freezing blast upon reaching its target. This Attack Spell is resolved on the Area Spells Attack Table, with a maximum result of 130, inflicting Frost damage and affecting anyone within the Area of Effect. If a creature hit by this Spell isn't wearing furs, pelts, or similar protective gear, there's a 1% chance per point of base damage inflicted that they will also suffer a -20 Exhaustion penalty to their actions until properly treated.",+2 Weave: increase Range by 10 meters,,,eldritch-frost,Area,Frost,7.5 Area Spells Attack Table,7.15 Frost Critical Strikes Table,130
Eldritch Frost,8th,Icewall,30 m,3 m × 3 m × 15 cm,P,N,"This Spell creates a wall of ice on a solid surface within Range. Solid, inanimate objects in the Area of Effect are encased in the wall for the Duration. Creatures that are in the Area of Effect when this Spell is cast are pushed aside as the wall takes form (each creature can choose to which side of the wall they are pushed). The wall is approximately 15 cm thick, and can be up to 3 meters long and high. It will slowly melt if the external temperature is hot enough, and can be destroyed by fire-based attacks dealing a total of 100 damage or more. A normal, man-sized creature, using appropriate working tools, can dig through the wall in 50 Rounds.",,,,eldritch-frost,,,,,
Eldritch Frost,9th,Cone of Cold,0 (self),15 m x 3 m cone,-,N,"A blast of unearthly cold erupts from the outstretched hands of the caster, freezing everything in its path. This is an Attack Spell, affecting every creature in a cone originating from the caster, with a length of 15 meters and 3 meters wide at its furthest end. The attack inflicts Frost damage and is resolved on the Area Spells Attack Table, with a maximum result of 140. If a creature hit by this Spell isn't wearing furs, pelts, or similar protective gear, there's a 1% chance per point of base damage inflicted that they will also suffer a -20 Exhaustion penalty to their actions until properly treated.",+1 Weave: increase cone's length by 2 meters.,,,eldritch-frost,Area,Frost,7.5 Area Spells Attack Table,7.15 Frost Critical Strikes Table,140
Eldritch Frost,10th,Rage of the Winter,0 (self),6 m radius,1 rnd/lvl,N,"The area around the caster is swept by a whirlwind of icy winds, carrying frozen crystals of ice. Perception and ranged Attack Rolls within the Area of Effect suffer a -20 penalty, and creatures in the area suffer a Moderate Frost Critical Strike at the beginning of each Round. Additionally, creatures entering or beginning their Round in the Area of Effect, must pass a Toughness Save Roll or be Held until the end of the Round, their bodies encrusted by a thick layer of hoarfrost and rime. The whirlwind moves with the caster and does not harm or affect them in any way.  Eldritch Hand Moving and affecting inert matter with the sheer power of the mind.",,,,eldritch-frost,,,,,
Eldritch Hand,1st,Poltergeist,30 m,1 target,1 min/lvl,Y,"Target inanimate item, weighing up to 2 kg, starts to shake weakly, as if tugged by an unseen hand. Very fragile objects have a 10% chance per minute of shattering. If the target is held by someone, its wielder must pass a WSR or drop it.",+2 Weave: increase maximum weight of the target by 2 kg.,,,eldritch-hand,,,,,
Eldritch Hand,2nd,Magic Shield*,0 (self),caster,1 min/lvl,N,"This Spell creates an invisible shield of magical force that protects the caster, giving them a +25 special bonus to their DEF against all melee and missile attacks coming from a chosen side of the character. The shield doesn't occupy a hand but cannot be combined with a normal shield. The caster can change the side protected by this Spell with a Free Action during the Assessment Phase.",,,,eldritch-hand,,,,,
Eldritch Hand,3rd,Burden,30 m,1 target,1 min/lvl,Y,"Increase the target's Encumbrance Level by one, up to Overencumbered.",+5 Weave: increase Encumbrance by one more Level.,+3 Weave: add one target.,,eldritch-hand,,,,,
Eldritch Hand,4th,Telekinesis,30 m,1 target,C,Y,"The caster can move target item or creature weighing up to 5 kg in any direction within Range. Creatures targeted by this Spell, or holding an item targeted by it, can make a WSR to resist its effects.",+2 Weave: increase maximum weight of the target by 5 kg. Weave Spell Range Area of Effect Duration Save,,,eldritch-hand,,,,,
Eldritch Hand,5th,Deflect*,30 m,1 attack,-,N,"The caster deflects an arrow, dart, or other similar non-magical missile within Range, inflicting a -100 penalty to its Attack Roll.",+3 Weave: add one target.,,,eldritch-hand,,,,,
Eldritch Hand,6th,True Aim*,0 (touch),1 attack,-,N,"The caster magically guides toward its target the next mundane missile attack made by the touched character this Round, granting a special +50 bonus to their Attack Roll.",,,,eldritch-hand,,,,,
Eldritch Hand,7th,Blade Ward*,30 m,1 attack,-,N,"The caster deflects a single melee attack that they can see within range, imposing a special -100 penalty to its Attack Roll.",+3 Weave: add one target.,,,eldritch-hand,,,,,
Eldritch Hand,8th,Eldritch Push,20 m,1 target,-,Y,"Target is hit by strong magical force. It suffers a Light Impact Critical Strike and is moved for 5 meters in any direction chosen by the caster on the horizontal axis. If it's a creature, it falls Prone. If it encounters an obstacle (including another creature) on its path, its movement ends immediately, and both the target and the obstacle suffer an additional Light Impact Critical Strike.",,,,eldritch-hand,,,,,
Eldritch Hand,9th,Shatter,30 m,1 target,-,Y,"Target inorganic, inanimate object weighing no more than 5 kg explodes in a cloud of fragments. Its wielder suffers a Moderate Impact Critical Strike, and any creature within a 3-meter radius suffers a Superficial Impact Critical Strike. Magical items are unaffected by this Spell, and characters wielding or bearing the targeted item may pass a WSR to negate its effects.",,,,eldritch-hand,,,,,
Eldritch Hand,10th,Crushing Force,30 m,1 target,1 rnd/lvl,Y,"The target is crushed by an overwhelming magical force. For the Duration of the Spell, the target is Held and suffers a Light Impact Critical Strike at the beginning of each Round. If it's a creature, it falls to the ground and becomes Prone. At the end of each Round, the target may make a WSR to end the effects of this Spell.  Eldritch Might Channeling the power of magic to overcome the limits of the body, shielding it from harmful influences and allowing it to perform incredible tasks.",,,,eldritch-hand,,,,,
Eldritch Might,1st,Sharp Ears,3 m,1 target,10 min/lvl,N,"Target creature's sense of hearing is greatly enhanced for the Duration, granting them a +30 magical bonus to all Perception Rolls where hearing is at least partially involved.",,,,eldritch-might,,,,,
Eldritch Might,2nd,Adroitness,3 m,1 target,10 min/lvl,N,"Target creature gains a supernatural sense of balance and catlike reflexes, granting tthem a +30 bonus to all Acrobatics Skill Rolls for the Duration.",,,,eldritch-might,,,,,
Eldritch Might,3rd,Dark Sight,3 m,1 target,10 min/lvl,N,Target creature can see up to 30 m in Dim Light (treating the first 15 m as if they were standing in Bright Light) and up to 3 m in Total Darkness for the Duration.,+5 Weave: target can see up to 30 m in Total Darkness as if they were standing in Bright Light instead.,,,eldritch-might,,,,,
Eldritch Might,4th,Haste,3 m,1 target,1 rnd,N,"For the Duration, target creature can take Full Round Actions as if they were Half Actions, and Half Actions as if they were Free Actions. When the Duration expires, the affected creature suffers a special -30 penalty to all Rolls for a number of Rounds equal to the amount of time spent under the effects of this Spell.",+2 Weave: increase Duration by 1 Round.,+3 Weave: add one target.,+3 Weave: the target doesn't suffer any penalty when the Spell expires. Weave Spell Range Area of Effect Duration Save,eldritch-might,,,,,
Eldritch Might,5th,Resist Pain*,3 m,1 target,1 min/lvl,N,"For the Duration, the target gains a number of temporary Hit Points equal to one quarter of their Total Hit Points. This Spell can temporarily bring the target's Current HPs to a value higher than their Total HPs value. When this Spell expires, the target immediately loses a number of HPs equal to those gained with this Spell (note that this could bring their Current HPs below zero).",+5 Weave: increase temporary HPs by another quarter of the target's Total Hit Points.,,,eldritch-might,,,,,
Eldritch Might,6th,Mystical Breath,3 m,1 target,10 min/lvl,N,Target creature doesn't need to breathe for the Duration.,,,,eldritch-might,,,,,
Eldritch Might,7th,Resist Poison,3 m,1 target,10 min/lvl,N,"Target creature becomes immune to the effects of poison for the duration. This doesn't eliminate poisons from the target's body, it merely suppresses their effects as long as this spell is active.",,,,eldritch-might,,,,,
Eldritch Might,8th,Strength Within*,3 m,1 target,1 rnd,N,"For the Duration, target creature gains a magical +30 bonus to their Brawn score, and doubles the Base Damage they inflict with their melee attacks.",+2 Weave: increase Duration by 1 Round.,,,eldritch-might,,,,,
Eldritch Might,9th,Eldritch Armor,3 m,1 target,1 rnd/lvl,N,"Target creature is surrounded by a radiant aura of eldritch light. For the duration, their bare skin protects them as a Light Armor with the Rigid Quality.",,,,eldritch-might,,,,,
Eldritch Might,10th,Heart of Steel*,3 m,1 target,1 min/lvl,N,"The effects of the first Critical Strike target creature receives (including additional damage, blood loss, injuries, and even instant death) are delayed for the Duration. The Critical Strike is rolled normally but its effects are applied only when this Spell expires. No more than one Heart of Steel Spell can be active on a target at the same time. Eldritch Movements Moving by any means of magical and wondrous movement: from climbing on sheer surfaces and flying like the wind, to travelling without moving.",,,,eldritch-might,,,,,
Eldritch Movements,1st,Jump*,30 m,1 target,1 rnd,N,This Spell allows target creature to jump up to 15 meters horizontally or 6 meters vertically as a Full Action this Round.,"+4 Weave: after landing, target can make an additional jump as part of the same action.",,,eldritch-movements,,,,,
Eldritch Movements,2nd,Slow Fall*,30 m,1 target,-,N,"This Spell slows the target's fall, allowing them to fall without hurting themselves for 6 meters per the caster's Level or to reduce a longer fall by the same distance before calculating falling damage.",+3 Weave: add one target.,,,eldritch-movements,,,,,
Eldritch Movements,3rd,Clinging,30 m,1 target,1 min/lvl,N,"The target of this Spell can climb any wall, cliff, or other vertical surface without tiring and without the need of any Skill Roll, moving at half their normal Move Rate for the Duration.",+3 Weave: change Duration to 10 minutes per Level.,,,eldritch-movements,,,,,
Eldritch Movements,4th,Levitate,3 m,1 target,1 min/lvl,N,"Target creature can levitate for the Duration, moving up and down vertically at a speed of 3 meters per Round.",+3 Weave: change Duration to 10 minutes per Level.,,,eldritch-movements,,,,,
Eldritch Movements,5th,Blink,3 m,1 target,-,Y,"Target creature disappears, and immediately reappears in an unoccupied space chosen by the caster within 10 m. The caster must be able to see the point of arrival, which must rest on a solid surface, and there cannot be any physical obstacle (i.e. walls, closed doors, or other barriers) between the target and the chosen space.",+3 Weave: increase arrival point distance by 10 meters. Weave Spell Range Area of Effect Duration Save,,,eldritch-movements,,,,,
Eldritch Movements,6th,Swim,3 m,1 target,10 min/lvl,N,"Target creature can swim at its normal Move Rate, ignoring the effects of currents, without the need of any Skill roll for the duration. It also can move freely underwater, and treats all watery terrain as Normal terrain for the duration. Note that this spell does not grant the ability to breath underwater.",,,,eldritch-movements,,,,,
Eldritch Movements,7th,Ride the Sky,3 m,1 target,1 min/lvl,N,Target can fly at a Move Rate of 20 meters per Round for the Duration.,+3 Weave: increase the target's flying Move Rate by 20 meters per Round.,,,eldritch-movements,,,,,
Eldritch Movements,8th,Eldritch Portal,0 (touch),1 surface,1 rnd/lvl,N,"This Spell creates a shimmering (2-meter high and 1-meter wide) portal on target solid surface that's 1 meter thick or less. The portal doesn't damage the surface integrity in any way, but creatures and objects can cross it (emerging on the other side of the surface) as if it were a normal door. The portal disappears as soon as the Spell ends.",,,,eldritch-movements,,,,,
Eldritch Movements,9th,Mystical Step,0 (self),30 m,-,N,"The caster vanishes, immediately reappearing in any space of their choosing within the Area of Effect. The caster doesn't need to see or know the point of arrival, but they must pass a Very Hard (-30) Perception Roll on the next Assessment Phase or be Stunned if they choose a destination they cannot see. If the chosen space is occupied by another creature or object, the caster will reappear Stunned at their starting point, instead.",,,,eldritch-movements,,,,,
Eldritch Movements,10th,Journey Through the Dark,0 (self),10 m radius,Special,N,"The caster transports themselves and up to 1 willing companion per Level within the Area of Effect to the Dark, a mystical region beyond the mortal world. By travelling through the Dark, the caster and their companions will be transported to any place in the mortal world within 10 km per caster's Level from their starting point. Travel will appear to be instantaneous to those witnessing it from the mortal world; the characters will seem to simply disappear from one place to reappear in another. However, the flow of time in the Dark is different from that of the mortal world, and the characters journeying through it will often feel as if they travelled for hours, or even days. Moreover, the Dark itself isn't devoid of dangers, and travellers may well lose their way and find themselves stranded, or worse. Each time the caster uses this spell, they must make an Open-Ended Roll on the Dark Travel Events Table, adding the Dark Travel Modifiers. Eldritch Secrets Revealing what's hidden, obfuscating the truth, and mastering the mysteries of magic.",,,,eldritch-movements,,,,,
Eldritch Secrets,1st,Sense Secrets,0 (self),6 m radius,C,N,"As long as this Spell is active, the caster will know if something or someone is hidden somewhere within the Area of Effect. Note that this Spell only reveals the presence of hidden things and creatures, not their position, number, or nature.",+2 Weave: change the Duration to 1 minute per Level.,"+4 Weave: the caster will also be given a rough idea of the nature of what's hidden in the Area of Effect (for example, if it's a creature, a thing, or a secret passage).",,eldritch-secrets,,,,,
Eldritch Secrets,2nd,Secret Sign,0 (touch),1 target,1 hour/lvl,N,"The caster traces a single word or a simple symbol on target fixed object or non-mobile surface. The word or symbol can only be seen by the caster and either by another creature the caster knows personally chosen at the time of casting, or by creatures belonging to a certain Kin. The symbol fades when this Spell's Duration expires.",+2 Weave: change the Duration to 1 day per Level.,+4 Weave: change the Duration to 1 month per Level.,+6 Weave: change the Duration to 1 Permanent.,eldritch-secrets,,,,,
Eldritch Secrets,3rd,Forgery*,20 m,1 target,10 min/lvl,N,"This Spell persuades target sentient creature that the caster is carrying or wearing an item (such as a signet ring, a letter, or a uniform) that identifies the caster as someone chosen at the time of casting. The illusory item exists only in the mind of the target, and no one else can perceive it. This Spell doesn't change the caster's appearance, so it cannot be used to persuade the target that the caster is someone they know. For example, it cannot convince the target that the caster is the local Sheriff, if the target knows the Sheriff personally, but it can convince them that the caster is a Sheriff, or carrying the Sheriff 's badge.",+1 Weave: add one target.,,,eldritch-secrets,,,,,
Eldritch Secrets,4th,Hand of Glory,0 (self),6 m radius,C,N,"For the Duration, Rolls made to find or locate objects and creatures hidden or concealed in the Area of Effect suffer a special -30 penalty. Additionally, Spells and magical effects that permit to read minds or reveal Passions won't work in the Area of Effect for the Duration. Weave Spell Range Area of Effect Duration Save",+2 Weave: change the Duration to 10 minutes per Level.,,,eldritch-secrets,,,,,
Eldritch Secrets,5th,Magehunter*,20 m,1 target,C,N,"For the Duration, the caster is aware of the general direction and approximate distance of the creature who cast target Spell or created target magical effect within Range.",+2 Weave: change the Duration to 1 minute/level.,+2 Weave: the caster knows the exact position of the creature.,,eldritch-secrets,,,,,
Eldritch Secrets,6th,Secrets of the Runes,0 (touch),1 target,-,N,"The caster learns the purpose of target magical or enchanted text. If the text is a magical scroll, they also learn what Spells it contains and get a special +20 bonus to their Arcana Roll to cast them from that scroll.",,,,eldritch-secrets,,,,,
Eldritch Secrets,7th,Reveal Secret,30 m,1 target,C,N,"This caster knows the exact position and the shortest route to a specific hidden or concealed creature, object, or location within Range.",+2 Weave: change the Duration to 1 minute per Level.,+1 Weave: add 30 meters to Range.,,eldritch-secrets,,,,,
Eldritch Secrets,8th,Secret Self,0 (self),caster,10 min/lvl,N,"For the Duration, the caster cannot be detected by magic. Magical senses and scrying Spells will perceive the caster's presence only as a strange “absence”, like a rip in the Weave, but won't be able to determine its nature, nor the caster's features or exact location. This Spell ends immediately if the caster casts another Spell.",,,,eldritch-secrets,,,,,
Eldritch Secrets,9th,Past and Future Secrets,0 (touch),1 target,-,Y,"The caster receives a fleeting vision about the past or future of target creature or object. The caster can ask the GM to reveal one of the following: a clue about what the target is hiding; one of the target's Passions; how the target can help the caster achieve something; the target's main weakness. If the target is a creature, they can pass a Save Roll to negate the effects of this Spell.",,,,eldritch-secrets,,,,,
Eldritch Secrets,10th,Thousand Faces,0 (self),caster,P,N,"This Spell changes the appearance of the caster, making them look and sound like someone else. This Spell can make the caster look slightly smaller or bigger (within 20% of its actual size) or appear as a member of a different Kin, but cannot radically change the caster's type of creature. It cannot, for example, change the appearance of a Man into that of a Wolf, but could change an Elf into a Dwarf. The caster's stats and abilities are not changed by this Spell; the caster does not gain any of their new form's special abilities or innate capabilities. The Spell changes the sound of the caster's voice, but doesn't grant the ability to speak a language they don't know.  Eldritch Storm Conjuring the elemental Storm to attack with lighting and thunder, raise stormy winds, and call upon hurricanes.",,,,eldritch-secrets,,,,,
Eldritch Storm,1st,Breeze,0 (self),6 m cone,C,N,"The caster conjures a strong breeze (about 30 km/h), that will blow in a chosen direction, in a cone 6 meters long, and 6 meters wide in its furthest end. The breeze is strong enough to raise dust, move small branches, and disperse gas and fog. Ranged attacks passing through the Area of Effect suffer a -30 penalty to their Attack Rolls.",+3 Weave: increase length of cone by 3 meters.,,,eldritch-storm,,,,,
Eldritch Storm,2nd,Thunderbolt,30 m,1 target,-,N,"The caster hurls a bolt of crackling energy against the target. This Attack Spell inflicts Lightning damage and is resolved on the Bolt Spells Attack Table, with a maximum result of 110.",+2 Weave: increase Range by 10 meters,,,eldritch-storm,Bolt,Lightning,7.6 Bolt Spells Attack Table,7.14 Lightning Critical Strikes Table,110
Eldritch Storm,3rd,Stormwall,30 m,3 m × 3 m × 15 cm,1 rnd/lvl,N,"This Spell creates a transparent wall of swirling wind on a solid surface within Range. The wall is approximately 15 cm thick, and can be up to 3 meters long and high. Attacks passing through the wall suffer a -50 penalty to their Attack Rolls. Creatures attempting to cross it must pass a Hard (-20) Athletics Roll or be pushed back.",+3 Weave: extend length of wall by 3 meters.,"+2 Weave: creates a wall of electrically charged storm clouds instead. The wall cannot be seen through, and any creature passing through it suffers a Superficial Lightning Critical Strike.",,eldritch-storm,,,,,
Eldritch Storm,4th,Thundercloud,30 m,1.5 m radius,C,N,The Area of Effect is filled with hundreds of tiny lightning discharges. Creatures ending their Round within the Area of Effect suffer a Light Lightning Critical Strike.,+2 Weave: extend Area of Effect radius by 1.5 meters.,+2 Weave: change Duration to 1 Round per Level.,+3 Weave: increase Critical Strike severity by one level (up to Lethal). Weave Spell Range Area of Effect Duration Save,eldritch-storm,,,,,
Eldritch Storm,5th,Becalm,30 m,3 m radius,C,N,"An invisible bubble of air envelops the Area of Effect, stopping any wind blowing at 50 km/h or less, and cutting the speed of stronger winds by 50 km/h for the Duration.",+2 Weave: change Duration to 1 Round per Level.,+3 Weave: extend Area of Effect radius by 3 meters.,,eldritch-storm,,,,,
Eldritch Storm,6th,Wind Armor,3 m,1 target,1 min/lvl,N,"A protective whirlwind surrounds the target, shielding it from the enemy's blows and sustaining its movements. The target gets a +20 bonus to their Defense and Acrobatics Skill Rolls for the duration.",,,,eldritch-storm,,,,,
Eldritch Storm,7th,Stormbringer,0 (touch),1 weapon,1 rnd/lvl,N,"Target melee weapon within Range begins to glow, as crackling sparks of energy envelop it. The sparks will not affect the weapon, nor harm its wielder or the caster, but will inflict an additional Moderate Lightning Critical Strike to any creature it hits.",+2 Weave: increase the severity of the additional Critical Strike by one level (up to Lethal).,,,eldritch-storm,,,,,
Eldritch Storm,8th,Lightning Ball,30 m,3 m radius,-,N,"The caster shoots a tiny spark of energy that explodes in a scintillating blast of light upon reaching its target. This Attack Spell is resolved on the Area Spells Attack Table, with a maximum result of 150, inflicting Lightning damage and affecting anyone within the Area of Effect. The attack deals double damage against targets wearing metal armor.",+2 Weave: increase Range by 10 meters,,,eldritch-storm,Area,Lightning,7.5 Area Spells Attack Table,7.14 Lightning Critical Strikes Table,150
Eldritch Storm,9th,Hurricane,0 (self),6 m radius,1 rnd/lvl,N,"A circular wall of hurricane-force winds surrounds the caster. The wall has a radius of 6 meters, it's 6 meters high and about 1.5 meters thick. Attacks passing through it suffer a -100 penalty to their Attack Rolls. Creatures attempting to cross it will suffer a Moderate Impact Critical Strike and must pass a Very Hard (-30) Athletics Skill Roll or be pushed back and knocked Prone. The wall is static and does not move with the caster.",,,,eldritch-storm,,,,,
